Subcriteria,Criterion,Critic_Local_Weight,Critic_Crit_Weight,Critic_Global_Weight,Critic_Rank
SC11,C01,0.231084,0.122495,0.028307,18
SC12,C01,0.230332,0.122495,0.028215,19
SC13,C01,0.229036,0.122495,0.028056,21
SC14,C01,0.309548,0.122495,0.037918,11
SC21,C02,0.397365,0.096823,0.038474,9
SC22,C02,0.224800,0.096823,0.021766,27
SC23,C02,0.218227,0.096823,0.021129,28
SC24,C02,0.159608,0.096823,0.015454,29
SC31,C03,0.259173,0.193632,0.050184,3
SC32,C03,0.451345,0.193632,0.087395,1
SC33,C03,0.289483,0.193632,0.056053,2
SC41,C04,0.222576,0.126407,0.028135,20
SC42,C04,0.189691,0.126407,0.023978,24
SC43,C04,0.254702,0.126407,0.032196,14
SC44,C04,0.333031,0.126407,0.042098,4
SC51,C05,0.202332,0.108750,0.022004,26
SC52,C05,0.321761,0.108750,0.034991,13
SC53,C05,0.210327,0.108750,0.022873,25
SC54,C05,0.265580,0.108750,0.028882,17
SC61,C06,0.247037,0.149087,0.036830,12
SC62,C06,0.213970,0.149087,0.031900,15
SC63,C06,0.268466,0.149087,0.040025,8
SC64,C06,0.270527,0.149087,0.040332,7
SC71,C07,0.378627,0.108331,0.041017,6
SC72,C07,0.267831,0.108331,0.029015,16
SC73,C07,0.353542,0.108331,0.038300,10
SC81,C08,0.286688,0.094474,0.027085,22
SC82,C08,0.269442,0.094474,0.025455,23
SC83,C08,0.443870,0.094474,0.041934,5
