Province,MC_Mean_Rank,MC_Std_Rank,MC_CV_Rank,MC_Prob_Top1,MC_Prob_TopK,MC_Nominal_Rank
P29,1.0000,0.0000,0.0000,1.0000,1.0000,1
P28,2.0000,0.0000,0.0000,0.0000,1.0000,2
P30,3.6180,0.6050,0.1672,0.0000,1.0000,3
P24,3.6245,0.7032,0.1940,0.0000,1.0000,4
P22,4.7575,0.5279,0.1110,0.0000,1.0000,5
P18,6.0000,0.0000,0.0000,0.0000,1.0000,6
P31,7.5120,0.7354,0.0979,0.0000,1.0000,7
P26,8.1720,0.6200,0.0759,0.0000,1.0000,8
P12,8.3435,0.8761,0.1050,0.0000,0.9975,9
P49,10.8420,1.3598,0.1254,0.0000,0.5870,10
P56,11.8655,1.5737,0.1326,0.0000,0.2310,11
P19,12.0780,1.3277,0.1099,0.0000,0.1445,12
P15,12.5475,1.0755,0.0857,0.0000,0.0360,13
P32,14.1695,2.5741,0.1817,0.0000,0.0035,14
P11,14.3820,0.8271,0.0575,0.0000,0.0000,15
P14,16.6920,1.8561,0.1112,0.0000,0.0005,16
P23,16.7905,1.0453,0.0623,0.0000,0.0000,17
P16,17.2170,1.0968,0.0637,0.0000,0.0000,18
P17,19.2845,0.8195,0.0425,0.0000,0.0000,19
P13,19.2855,0.8337,0.0432,0.0000,0.0000,20
P27,21.2315,0.9643,0.0454,0.0000,0.0000,21
P55,22.1510,1.1559,0.0522,0.0000,0.0000,22
P35,22.8595,0.7098,0.0310,0.0000,0.0000,23
P53,23.8365,0.8443,0.0354,0.0000,0.0000,24
P47,25.1190,0.6956,0.0277,0.0000,0.0000,25
P25,25.8265,0.6644,0.0257,0.0000,0.0000,26
P05,27.1915,0.5512,0.0203,0.0000,0.0000,27
P21,27.6495,0.8159,0.0295,0.0000,0.0000,28
P59,29.7625,0.7397,0.0249,0.0000,0.0000,29
P38,30.2155,1.5120,0.0500,0.0000,0.0000,30
P04,31.2060,1.0448,0.0335,0.0000,0.0000,31
P51,32.4610,1.7351,0.0535,0.0000,0.0000,32
P60,32.7345,1.8089,0.0553,0.0000,0.0000,33
P09,33.7345,1.2373,0.0367,0.0000,0.0000,34
P33,33.8630,0.8386,0.0248,0.0000,0.0000,35
P62,36.3405,0.6750,0.0186,0.0000,0.0000,36
P01,37.1700,0.9545,0.0257,0.0000,0.0000,37
P39,38.7575,0.7834,0.0202,0.0000,0.0000,38
P06,38.7675,1.3444,0.0347,0.0000,0.0000,39
P57,39.1705,1.2147,0.0310,0.0000,0.0000,40
P20,41.2010,0.7467,0.0181,0.0000,0.0000,41
P61,41.6010,0.6362,0.0153,0.0000,0.0000,42
P50,43.2280,0.7064,0.0163,0.0000,0.0000,43
P10,44.4685,0.7622,0.0171,0.0000,0.0000,44
P45,44.7670,1.1339,0.0253,0.0000,0.0000,45
P63,46.3250,1.1859,0.0256,0.0000,0.0000,46
P46,47.5085,1.2033,0.0253,0.0000,0.0000,47
P52,48.6425,1.7764,0.0365,0.0000,0.0000,48
P34,49.2105,1.8890,0.0384,0.0000,0.0000,49
P48,49.2530,1.3820,0.0281,0.0000,0.0000,50
P43,50.3325,1.5799,0.0314,0.0000,0.0000,51
P44,51.2330,0.9480,0.0185,0.0000,0.0000,52
P42,53.3670,0.5994,0.0112,0.0000,0.0000,53
P40,54.7195,1.5277,0.0279,0.0000,0.0000,54
P37,56.2490,1.8463,0.0328,0.0000,0.0000,55
P41,56.2875,1.3660,0.0243,0.0000,0.0000,56
P08,56.3275,1.1706,0.0208,0.0000,0.0000,57
P54,57.0265,2.2345,0.0392,0.0000,0.0000,58
P02,59.5855,0.9993,0.0168,0.0000,0.0000,59
P36,59.6410,1.0794,0.0181,0.0000,0.0000,60
P03,59.8065,1.4608,0.0244,0.0000,0.0000,61
P07,62.1700,0.3938,0.0063,0.0000,0.0000,62
P58,62.8200,0.3932,0.0063,0.0000,0.0000,63
