Subcriteria,Criterion,Global_Weight,Criterion_Weight,Local_SC_Weight,MC_Mean,MC_Std,MC_CV,CI_Lower_2_5,CI_Upper_97_5,Rank_Global
SC11,C01,0.0283066,0.122495,0.231084,0,0,0,0,0,18
SC12,C01,0.0282146,0.122495,0.230332,0,0,0,0,0,19
SC13,C01,0.0280557,0.122495,0.229036,0,0,0,0,0,21
SC14,C01,0.0379181,0.122495,0.309548,0,0,0,0,0,11
SC21,C02,0.038474,0.0968228,0.397365,0,0,0,0,0,9
SC22,C02,0.0217658,0.0968228,0.2248,0,0,0,0,0,27
SC23,C02,0.0211293,0.0968228,0.218227,0,0,0,0,0,28
SC24,C02,0.0154537,0.0968228,0.159608,0,0,0,0,0,29
SC31,C03,0.0501841,0.193632,0.259173,0,0,0,0,0,3
SC32,C03,0.0873947,0.193632,0.451345,0,0,0,0,0,1
SC33,C03,0.0560531,0.193632,0.289483,0,0,0,0,0,2
SC41,C04,0.0281353,0.126407,0.222576,0,0,0,0,0,20
SC42,C04,0.0239783,0.126407,0.189691,0,0,0,0,0,24
SC43,C04,0.0321963,0.126407,0.254702,0,0,0,0,0,14
SC44,C04,0.0420976,0.126407,0.333031,0,0,0,0,0,4
SC51,C05,0.0220036,0.10875,0.202332,0,0,0,0,0,26
SC52,C05,0.0349914,0.10875,0.321761,0,0,0,0,0,13
SC53,C05,0.022873,0.10875,0.210327,0,0,0,0,0,25
SC54,C05,0.0288818,0.10875,0.26558,0,0,0,0,0,17
SC61,C06,0.0368301,0.149087,0.247037,0,0,0,0,0,12
SC62,C06,0.0319003,0.149087,0.21397,0,0,0,0,0,15
SC63,C06,0.0400249,0.149087,0.268466,0,0,0,0,0,8
SC64,C06,0.0403322,0.149087,0.270527,0,0,0,0,0,7
SC71,C07,0.0410172,0.108331,0.378627,0,0,0,0,0,6
SC72,C07,0.0290145,0.108331,0.267831,0,0,0,0,0,16
SC73,C07,0.0382997,0.108331,0.353542,0,0,0,0,0,10
SC81,C08,0.0270846,0.0944741,0.286688,0,0,0,0,0,22
SC82,C08,0.0254553,0.0944741,0.269442,0,0,0,0,0,23
SC83,C08,0.0419342,0.0944741,0.44387,0,0,0,0,0,5
[CRITERION] C01,C01,0.122495,0.122495,0.122495,0.122495,0,0,0,0,0
[CRITERION] C02,C02,0.0968228,0.0968228,0.0968228,0.0968228,0,0,0,0,0
[CRITERION] C03,C03,0.193632,0.193632,0.193632,0.193632,0,0,0,0,0
[CRITERION] C04,C04,0.126407,0.126407,0.126407,0.126407,0,0,0,0,0
[CRITERION] C05,C05,0.10875,0.10875,0.10875,0.10875,0,0,0,0,0
[CRITERION] C06,C06,0.149087,0.149087,0.149087,0.149087,0,0,0,0,0
[CRITERION] C07,C07,0.108331,0.108331,0.108331,0.108331,0,0,0,0,0
[CRITERION] C08,C08,0.0944741,0.0944741,0.0944741,0.0944741,0,0,0,0,0
