Epoch,Train_Loss,Val_Loss
1,0.374225,0.186596
2,0.370406,0.184709
3,0.366626,0.182841
4,0.362885,0.180992
5,0.359182,0.179162
6,0.355517,0.177351
7,0.351890,0.175558
8,0.348300,0.173784
9,0.344747,0.172027
10,0.341230,0.170288
11,0.337749,0.168567
12,0.334304,0.166864
13,0.330894,0.165178
14,0.327520,0.163509
15,0.324180,0.161857
16,0.320874,0.160222
17,0.317602,0.158604
18,0.314363,0.157002
19,0.311158,0.155416
20,0.307985,0.153846
21,0.304846,0.152293
22,0.301738,0.150755
23,0.298969,0.149385
24,0.296225,0.148027
25,0.293507,0.146682
26,0.290814,0.145349
27,0.288146,0.144028
28,0.285503,0.142720
29,0.282884,0.141423
30,0.280289,0.140139
31,0.277718,0.138866
32,0.275170,0.137604
33,0.272647,0.136355
34,0.270146,0.135116
35,0.267669,0.133889
36,0.265214,0.132674
37,0.262782,0.131469
38,0.260373,0.130276
39,0.257986,0.129093
40,0.255620,0.127921
41,0.253277,0.126760
42,0.250955,0.125610
43,0.248885,0.124584
44,0.246831,0.123566
45,0.244795,0.122557
46,0.242775,0.121556
47,0.240772,0.120563
48,0.238786,0.119579
49,0.236817,0.118602
50,0.234863,0.117634
51,0.232926,0.116674
52,0.231005,0.115721
53,0.229100,0.114776
54,0.227211,0.113840
55,0.225338,0.112911
56,0.223480,0.111989
57,0.221638,0.111075
58,0.219810,0.110169
59,0.217998,0.109270
60,0.216202,0.108379
61,0.214420,0.107494
62,0.212652,0.106618
63,0.211075,0.105835
64,0.209509,0.105058
65,0.207955,0.104287
66,0.206413,0.103521
67,0.204882,0.102761
68,0.203362,0.102007
69,0.201854,0.101258
70,0.200357,0.100515
71,0.198872,0.099778
72,0.197397,0.099046
73,0.195934,0.098319
74,0.194481,0.097598
75,0.193040,0.096882
76,0.191609,0.096171
77,0.190188,0.095466
78,0.188779,0.094766
79,0.187380,0.094071
80,0.185991,0.093381
81,0.184613,0.092696
82,0.183245,0.092017
83,0.182023,0.091410
84,0.180809,0.090806
85,0.179604,0.090207
86,0.178406,0.089612
87,0.177217,0.089021
88,0.176035,0.088434
89,0.174861,0.087850
90,0.173696,0.087271
91,0.172538,0.086695
92,0.171388,0.086124
93,0.170246,0.085556
94,0.169111,0.084992
95,0.167984,0.084431
96,0.166865,0.083875
97,0.165753,0.083322
98,0.164649,0.082773
99,0.163552,0.082227
100,0.162462,0.081685
