Subcriteria,count,mean,std,min,25%,50%,75%,max,Skewness,Kurtosis,CV,IQR
SC11,61,1.08574,0.15111,0.754184,0.98022,1.09721,1.2007,1.42572,-0.0997619,-0.427949,0.139177,0.220484
SC12,61,1.39216,0.229912,0.851834,1.21398,1.38018,1.57373,1.93025,-0.0111941,-0.417957,0.165148,0.359754
SC13,61,1.41752,0.141971,1.07096,1.31511,1.42412,1.52755,1.69028,-0.336287,-0.594299,0.100154,0.212433
SC14,61,1.08372,0.207093,0.556396,0.967794,1.05054,1.25545,1.52288,0.0235477,-0.118757,0.191095,0.287652
SC21,61,0.850348,0.0736206,0.710436,0.798078,0.83666,0.896417,1.0528,0.608847,0.264589,0.086577,0.098339
SC22,61,1.72111,0.178601,1.2144,1.61993,1.75909,1.83955,2.03557,-0.806976,0.736167,0.103771,0.21962
SC23,61,1.38093,0.111748,1.11947,1.30156,1.37609,1.45008,1.73673,0.398009,0.686086,0.0809221,0.148519
SC24,61,1.3524,0.10783,1.05173,1.27341,1.35097,1.41195,1.5916,0.0905081,0.119608,0.0797322,0.138538
SC31,61,1.97847,0.104626,1.71497,1.91512,1.97376,2.03503,2.22009,-0.119355,-0.212304,0.0528824,0.119906
SC32,61,0.473662,0.0437915,0.388446,0.439892,0.474271,0.50038,0.610564,0.565988,0.524137,0.0924531,0.0604879
SC33,61,1.83824,0.109391,1.50656,1.77007,1.84463,1.91848,2.08115,-0.578548,0.551639,0.0595085,0.148407
SC41,61,1.73134,0.156658,1.40946,1.60963,1.73014,1.84656,2.13853,0.0672573,-0.160978,0.0904836,0.236922
SC42,61,2.06016,0.0972721,1.8528,2.00491,2.05286,2.11258,2.2852,0.315018,-0.0926362,0.0472159,0.107674
SC43,61,1.25583,0.174052,0.957419,1.13992,1.2402,1.32905,1.75148,0.665733,0.198409,0.138595,0.189126
SC44,61,1.97111,0.0873586,1.60472,1.93292,1.97622,2.0284,2.16937,-1.38542,5.03554,0.0443196,0.0954782
SC51,61,2.41064,0.0897527,2.14386,2.3683,2.4139,2.46874,2.6273,-0.408052,0.773597,0.037232,0.100441
SC52,0,,,,,,,,,,,
SC53,61,2.3347,0.141837,1.91681,2.25501,2.34788,2.45962,2.59961,-0.57473,0.38561,0.0607517,0.20461
SC54,61,2.46136,0.0632395,2.28601,2.42004,2.45611,2.50824,2.58318,-0.191054,-0.167729,0.0256929,0.0881991
SC61,61,1.94515,0.0988312,1.68625,1.8963,1.94853,2.00906,2.19145,-0.410095,0.54161,0.0508089,0.112759
SC62,61,1.69825,0.288397,0.996902,1.44225,1.72148,1.97621,2.11402,-0.218647,-1.29318,0.16982,0.533951
SC63,61,2.00365,0.165699,1.71706,1.88727,1.98311,2.12175,2.34749,0.187184,-0.817115,0.0826989,0.234484
SC64,61,1.95341,0.045474,1.85362,1.923,1.94759,1.9832,2.07224,0.166719,-0.212936,0.0232793,0.0602003
SC71,61,1.06191,0.11465,0.816772,0.976156,1.05401,1.13977,1.33011,0.161018,-0.489826,0.107966,0.163612
SC72,61,1.98973,0.141899,1.56914,1.899,1.98991,2.09145,2.35214,-0.15479,0.530798,0.0713157,0.192448
SC73,61,0.588531,0.212125,0.341603,0.451615,0.537129,0.658889,1.35782,1.76252,3.69066,0.360431,0.207275
SC81,61,0.498167,0.0705962,0.383559,0.4464,0.487325,0.53371,0.694331,0.849003,0.846133,0.141712,0.0873102
SC82,61,2.46392,0.252881,2.0006,2.32886,2.4654,2.62493,2.96051,-0.0363659,-0.567397,0.102634,0.296076
SC83,61,0.431561,0.0483154,0.349077,0.399779,0.427706,0.452554,0.615135,1.25127,3.2416,0.111955,0.0527749
